,Topic,Words,Frequency,Timestamp
26,55,"grasped, opener, footprinting, copenhagen, francisco",1,2008-01-01 04:48:00.000
27,60,"month, coal, fired, postcombustion, cofiring",1,2008-01-01 04:48:00.000
28,117,"calculators, individual, calculator, consistency, impedes",1,2008-01-01 04:48:00.000
29,-1,"wns, fccc, town, cells, fuel",7,2008-07-01 19:12:00.000
30,1,"rbst, compassion, animals, animal, milk",2,2008-07-01 19:12:00.000
31,6,"server, knew, web, website, desktop",1,2008-07-01 19:12:00.000
32,7,"nuclear, face, advance, met, dependence",2,2008-07-01 19:12:00.000
33,22,"scrubbing, surgical, tap, gartnavel, stobhill",1,2008-07-01 19:12:00.000
34,34,"fall, countries, military, nations, security",1,2008-07-01 19:12:00.000
35,35,"corn, ethanol, nebraska, illinois, iowa",1,2008-07-01 19:12:00.000
36,56,"firms, pursue, protocols, chain, tier",1,2008-07-01 19:12:00.000
37,135,"chair, aluminium, furniture, wood, gwp",2,2008-07-01 19:12:00.000
38,152,"concrete, homes, buildings, building, empire",1,2008-07-01 19:12:00.000
39,155,"metering, monitoring, transparent, behaviourally, materialising",1,2008-07-01 19:12:00.000
40,-1,"comminution, anode, pas, carbon, gas",39,2008-12-31 09:36:00.000
41,0,"farming, organic, farm, crops, fertilizer",1,2008-12-31 09:36:00.000
42,1,"dairy, milk, modern, billion, dairying",1,2008-12-31 09:36:00.000
43,2,"building, overheating, buildings, living, construction",3,2008-12-31 09:36:00.000
44,3,"dilemmas, urban, multiple, optimal, vector",1,2008-12-31 09:36:00.000
45,4,"atrium, pv, grid, distribution, shading",3,2008-12-31 09:36:00.000
46,6,"synthesizer, centers, center, ownership, automated",1,2008-12-31 09:36:00.000
47,7,"ala, views, disclaimer, lita, proceeding",3,2008-12-31 09:36:00.000
48,10,"lipasto, vtt, kilometre, database, transport",1,2008-12-31 09:36:00.000
49,11,"wastewater, winery, treatment, sote, aeration",2,2008-12-31 09:36:00.000
50,13,"household, households, uk, ireland, sd",3,2008-12-31 09:36:00.000
51,16,"switching, campus, incremental, presidents, million",1,2008-12-31 09:36:00.000
52,18,"ems, medical, physicians, health, emergency",2,2008-12-31 09:36:00.000
53,19,"traffic, roadwork, road, vissim, disrupted",1,2008-12-31 09:36:00.000
54,20,"wool, footwear, textile, toolset, fibre",2,2008-12-31 09:36:00.000
55,29,"forest, calculations, biogenic, balance, products",1,2008-12-31 09:36:00.000
56,30,"output, input, mrio, trade, imports",5,2008-12-31 09:36:00.000
57,34,"iea, btoe, nations, reserves, kyoto",1,2008-12-31 09:36:00.000
58,35,"ethanol, ddgs, corn, stover, grind",1,2008-12-31 09:36:00.000
59,38,"ld, disabilities, students, learning, spaces",1,2008-12-31 09:36:00.000
60,40,"psychologists, subdisciplinary, everybody, lips, psychology",1,2008-12-31 09:36:00.000
61,44,"shale, oil, situ, cmg, modeling",1,2008-12-31 09:36:00.000
62,54,"surgeries, nhs, cut, home, help",1,2008-12-31 09:36:00.000
63,56,"companies, business, list, climate, corporate",2,2008-12-31 09:36:00.000
64,57,"icts, ict, standardization, sector, bodies",1,2008-12-31 09:36:00.000
65,60,"ldsep, sm, tail, psa, dioxide",1,2008-12-31 09:36:00.000
66,62,"commuters, electric, plug, vehicles, charging",1,2008-12-31 09:36:00.000
67,67,"heat, power, wow, cclc, generation",1,2008-12-31 09:36:00.000
68,73,"something, ophthalmology, considered, cataract, footprint",1,2008-12-31 09:36:00.000
69,86,"cement, aids, calcination, tool, manufacturer",1,2008-12-31 09:36:00.000
70,89,"coastal, events, event, ports, drink",1,2008-12-31 09:36:00.000
71,90,"microchannel, biofuels, btl, reactors, ethanol",1,2008-12-31 09:36:00.000
72,105,"absolute, figure, squeezed, networking, ospf",1,2008-12-31 09:36:00.000
73,110,"peat, vh, extraction, peatland, biochar",1,2008-12-31 09:36:00.000
74,114,"labelling, income, certification, exports, schemes",1,2008-12-31 09:36:00.000
75,125,"newspaper, magazine, pulp, finnish, print",1,2008-12-31 09:36:00.000
76,132,"residents, food, rural, keeping, consumption",1,2008-12-31 09:36:00.000
77,173,"cooling, absorption, powered, solar, cold",1,2008-12-31 09:36:00.000
78,-1,"ecolabel, lpg, scope, calculators, charcoal",12,2009-07-02 00:00:00.000
79,5,"municipal, action, local, accounting, overtime",1,2009-07-02 00:00:00.000
80,7,"infonorth, frisch, thomas, essay, elephant",5,2009-07-02 00:00:00.000
81,11,"sludge, digestion, advanced, gate, anaerobic",1,2009-07-02 00:00:00.000
82,12,"gha, waste, exports, disposal, capita",1,2009-07-02 00:00:00.000
83,13,"goods, expenditure, services, manufactured, nations",1,2009-07-02 00:00:00.000
84,26,"winemaking, wine, winegrowing, viticulture, wineries",1,2009-07-02 00:00:00.000
85,29,"wood, house, forest, intensive, typical",1,2009-07-02 00:00:00.000
86,30,"trade, output, input, mrio, region",2,2009-07-02 00:00:00.000
87,54,"care, estimate, health, sector, footprint",1,2009-07-02 00:00:00.000
88,68,"zero, facility, manufacturing, design, flows",1,2009-07-02 00:00:00.000
89,74,"powerered, haemodialysis, solar, reducing, dialysis",1,2009-07-02 00:00:00.000
90,82,"surimi, fish, processing, resort, discharges",1,2009-07-02 00:00:00.000
91,84,"functionality, heat, cooling, thermal, bell",1,2009-07-02 00:00:00.000
92,-1,"concrete, carbon, life, footprint, energy",65,2009-12-31 14:24:00.000
93,0,"vegetables, vegetable, agrochemicals, partly, electorates",1,2009-12-31 14:24:00.000
94,1,"dairy, milk, boundaries, dairyghg, production",8,2009-12-31 14:24:00.000
95,2,"building, buildings, leed, exergy, broset",10,2009-12-31 14:24:00.000
96,3,"greenscor, chain, supply, scor, web",2,2009-12-31 14:24:00.000
97,4,"microgrid, controls, certs, metering, signals",2,2009-12-31 14:24:00.000
98,5,"quadrant, nansihu, lake, locate, eco",3,2009-12-31 14:24:00.000
99,6,"cloud, centers, volts, data, computing",4,2009-12-31 14:24:00.000
100,7,"lightening, preface, principles, calculations, doctors",6,2009-12-31 14:24:00.000
101,9,"tourism, travel, slow, tsa, holiday",4,2009-12-31 14:24:00.000
102,12,"nickel, trade, waste, electronic, recovery",2,2009-12-31 14:24:00.000
103,14,"wireless, son, enb, base, saving",3,2009-12-31 14:24:00.000
104,16,"university, swot, plan, ier, educational",1,2009-12-31 14:24:00.000
105,19,"embankment, ground, drains, replacement, minimizes",1,2009-12-31 14:24:00.000
106,20,"roadmap, tc, dyeing, guangdong, textile",3,2009-12-31 14:24:00.000
107,28,"biodiesel, noureddini, triacylglycerol, bambase, oils",1,2009-12-31 14:24:00.000
108,29,"forestry, wood, oak, forwarding, trees",2,2009-12-31 14:24:00.000
109,30,"uk, mrio, output, input, deviations",2,2009-12-31 14:24:00.000
110,31,"spf, superplastic, db, forming, bonding",1,2009-12-31 14:24:00.000
111,32,"photovoltaic, kilowatt, electrochemical, hour, solar",1,2009-12-31 14:24:00.000
112,34,"harnessing, world, sustainable, energy, renewable",1,2009-12-31 14:24:00.000
113,35,"burning, sugarcane, ethanol, agricultural, rural",2,2009-12-31 14:24:00.000
114,40,"landscapes, landscape, aesthetic, drivers, acquired",1,2009-12-31 14:24:00.000
115,43,"wind, loading, turbine, spectra, updating",2,2009-12-31 14:24:00.000
116,44,"pipelines, sequestration, moves, states, united",1,2009-12-31 14:24:00.000
117,47,"vehicles, wheels, ca, gasoline, electric",1,2009-12-31 14:24:00.000
118,48,"food, peaty, guidance, potentials, germany",1,2009-12-31 14:24:00.000
119,52,"dross, casthouse, furnace, melt, aluminium",2,2009-12-31 14:24:00.000
120,53,"remanufacturing, dispose, repairing, recovery, product",1,2009-12-31 14:24:00.000
121,54,"leaders, nhs, call, medical, reduce",1,2009-12-31 14:24:00.000
122,55,"knowledge, distribution, figures, photocopying, access",1,2009-12-31 14:24:00.000
123,59,"print, printers, printing, packard, hewlett",2,2009-12-31 14:24:00.000
124,61,"heat, pump, colorado, hr, payers",1,2009-12-31 14:24:00.000
125,62,"electric, vehicle, vehicles, pevs, pev",1,2009-12-31 14:24:00.000
126,67,"turbine, combustion, steam, orc, turbines",3,2009-12-31 14:24:00.000
127,69,"cnc, machining, eree, cutting, machine",1,2009-12-31 14:24:00.000
128,70,"hospitality, hotel, hotels, chapter, csr",2,2009-12-31 14:24:00.000
129,73,"eye, dropper, coagulase, contamination, risk",1,2009-12-31 14:24:00.000
130,74,"dialysis, haemodialysis, reject, osmosis, home",1,2009-12-31 14:24:00.000
131,75,"refrigeration, room, coolstorage, stored, allocation",1,2009-12-31 14:24:00.000
132,82,"benthic, aquaculture, fish, offshore, coastal",2,2009-12-31 14:24:00.000
133,84,"cooling, cooled, datacenter, chip, shelters",2,2009-12-31 14:24:00.000
134,87,"terminals, parcel, logistics, paris, sprawl",1,2009-12-31 14:24:00.000
135,89,"port, authority, authorities, gijon, pain",1,2009-12-31 14:24:00.000
136,93,"brt, xiamen, transit, bus, tco",1,2009-12-31 14:24:00.000
137,97,"entrepreneurship, green, smes, business, managers",2,2009-12-31 14:24:00.000
138,105,"networking, reliance, match, levelling, elaborates",1,2009-12-31 14:24:00.000
139,108,"backup, survivable, shared, optical, wdm",1,2009-12-31 14:24:00.000
140,109,"grampian, telehealth, travel, telemedicine, year",1,2009-12-31 14:24:00.000
141,112,"sulphate, treatment, zld, blow, regulations",1,2009-12-31 14:24:00.000
142,114,"cfl, viewpoint, labels, label, viewpoints",1,2009-12-31 14:24:00.000
143,117,"calculator, exergy, calculators, filtering, individual",2,2009-12-31 14:24:00.000
144,119,"retailers, ten, objectives, top, policy",1,2009-12-31 14:24:00.000
145,123,"software, step, prom, analyse, lamination",1,2009-12-31 14:24:00.000
146,125,"papermaking, kaolin, pulp, paper, filler",2,2009-12-31 14:24:00.000
147,127,"gold, scrap, recycling, metals, electronics",1,2009-12-31 14:24:00.000
148,130,"pumping, real, pump, ccwi, redistributes",1,2009-12-31 14:24:00.000
149,133,"bamboo, bridges, glubam, glue, laminated",1,2009-12-31 14:24:00.000
150,135,"lci, wood, formaldehyde, particleboard, resin",3,2009-12-31 14:24:00.000
151,152,"concrete, hpc, volume, buildings, extend",1,2009-12-31 14:24:00.000
152,157,"sydney, ua, agriculture, urban, singapore",2,2009-12-31 14:24:00.000
153,161,"uncertainty, cf, ultraliquid, detergents, compact",1,2009-12-31 14:24:00.000
154,-1,"refinery, butter, mc, margarine, products",20,2010-07-02 04:48:00.000
155,2,"building, yeang, ken, buildings, embodied",3,2010-07-02 04:48:00.000
156,3,"supply, chain, eulerian, lagrangian, network",2,2010-07-02 04:48:00.000
157,5,"municipalities, metropolitan, local, cf, municipal",3,2010-07-02 04:48:00.000
158,7,"allometric, michigan, cherry, going, apple",4,2010-07-02 04:48:00.000
159,10,"ccap, transportation, travel, winkelman, directionally",1,2010-07-02 04:48:00.000
160,13,"household, joseph, rowntree, income, deemed",1,2010-07-02 04:48:00.000
161,21,"accessibility, interactive, subjective, friendliness, information",1,2010-07-02 04:48:00.000
162,30,"responsibility, trade, third, balance, pfcs",1,2010-07-02 04:48:00.000
163,35,"sugarcane, sugar, ngos, political, biofuels",2,2010-07-02 04:48:00.000
164,49,"fishing, galician, mussels, fisheries, mussel",2,2010-07-02 04:48:00.000
165,52,"steelmaking, mcf, continuous, inefficiency, processes",1,2010-07-02 04:48:00.000
166,56,"downstream, responsibility, path, corporate, chains",1,2010-07-02 04:48:00.000
167,74,"tonnes, dialysis, eq, renal, inpatient",1,2010-07-02 04:48:00.000
168,87,"freight, logistics, delphi, transport, road",1,2010-07-02 04:48:00.000
169,94,"anaesthesia, environment, footprint, comment, paediatric",1,2010-07-02 04:48:00.000
170,103,"cebc, cxls, liquids, oxidations, complexes",1,2010-07-02 04:48:00.000
171,113,"water, kalamazoo, drinking, lakes, distribution",2,2010-07-02 04:48:00.000
172,118,"pome, palm, efb, oil, ffb",1,2010-07-02 04:48:00.000
173,125,"magazine, geographic, pulp, iso, life",1,2010-07-02 04:48:00.000
174,-1,"water, energy, carbon, footprint, paper",66,2010-12-31 19:12:00.000
175,0,"crop, orchard, wheat, durum, crops",11,2010-12-31 19:12:00.000
176,1,"milk, beef, farm, livestock, dairy",11,2010-12-31 19:12:00.000
177,2,"building, buildings, energie, de, les",14,2010-12-31 19:12:00.000
178,3,"chain, supply, hmc, automobile, management",5,2010-12-31 19:12:00.000
179,4,"grid, smart, utility, power, rbs",3,2010-12-31 19:12:00.000
180,5,"china, municipal, industrial, hm, space",7,2010-12-31 19:12:00.000
181,6,"solarcore, workload, power, computing, solar",1,2010-12-31 19:12:00.000
182,7,"goel, seema, debuts, paleolithic, curtis",10,2010-12-31 19:12:00.000
183,9,"tourism, tourist, marginimea, villages, sibiului",3,2010-12-31 19:12:00.000
184,10,"transit, public, mobile, locations, users",3,2010-12-31 19:12:00.000
185,11,"wwtps, wastewater, control, predictive, radial",2,2010-12-31 19:12:00.000
186,12,"nickel, spent, recovery, batch, viability",1,2010-12-31 19:12:00.000
187,13,"ageing, older, uk, predilection, boomers",1,2010-12-31 19:12:00.000
188,14,"networks, network, radio, cellular, greenet",3,2010-12-31 19:12:00.000
189,16,"university, campus, uct, ucsi, gci",2,2010-12-31 19:12:00.000
190,18,"crash, patient, trial, ppci, stemi",2,2010-12-31 19:12:00.000
191,19,"asphalt, wma, road, pavement, hma",3,2010-12-31 19:12:00.000
192,20,"textile, cotton, bleach, bleaching, icf",4,2010-12-31 19:12:00.000
193,21,"labels, claims, fair, labelling, perceptions",2,2010-12-31 19:12:00.000
194,22,"reflux, surgical, gastro, oesophageal, surgery",1,2010-12-31 19:12:00.000
195,24,"cyber, sparse, physical, regression, cube",1,2010-12-31 19:12:00.000
196,25,"geopolymer, apaas, cities, wastes, geopolymers",1,2010-12-31 19:12:00.000
197,26,"wine, organic, grapes, grape, growers",1,2010-12-31 19:12:00.000
198,27,"anodizing, anodic, anticorrosion, electrochemical, protective",1,2010-12-31 19:12:00.000
199,30,"gtap, trade, international, transfers, countries",3,2010-12-31 19:12:00.000
200,31,"magnesium, alloys, steel, steels, microalloyed",6,2010-12-31 19:12:00.000
201,38,"curriculum, courses, students, learning, segr",3,2010-12-31 19:12:00.000
202,40,"household, households, individuals, brackets, communities",1,2010-12-31 19:12:00.000
203,41,"packaging, bags, shopping, paperboard, disposal",4,2010-12-31 19:12:00.000
204,42,"jumeirah, pre, swro, seawater, desalination",1,2010-12-31 19:12:00.000
205,49,"fishing, galician, nw, agent, leakage",1,2010-12-31 19:12:00.000
206,51,"hydrogen, loh, delivery, hydrides, cycloalkanes",2,2010-12-31 19:12:00.000
207,53,"rhi, refractory, plastic, recycled, bezel",2,2010-12-31 19:12:00.000
208,54,"delegates, offsets, conferences, measuring, medical",1,2010-12-31 19:12:00.000
209,55,"footprints, footprinting, definitions, research, ecological",5,2010-12-31 19:12:00.000
210,59,"photos, printed, album, photobook, photo",2,2010-12-31 19:12:00.000
211,68,"manufacturing, product, hybrid, calculation, permits",1,2010-12-31 19:12:00.000
212,69,"minimum, machined, machining, cutting, cirp",1,2010-12-31 19:12:00.000
213,70,"hotels, catering, star, nan, ji",1,2010-12-31 19:12:00.000
214,72,"carbonation, absorbed, concrete, accelerated, uptake",1,2010-12-31 19:12:00.000
215,74,"hd, dialysis, hemodialysis, hours, ton",1,2010-12-31 19:12:00.000
216,75,"refrigeration, compression, refrigerants, refrigerant, supermarket",3,2010-12-31 19:12:00.000
217,77,"ecf, households, quota, urban, household",1,2010-12-31 19:12:00.000
218,84,"cooling, cooled, chip, heat, sink",2,2010-12-31 19:12:00.000
219,85,"electrode, nanostructured, lithium, ion, discharge",1,2010-12-31 19:12:00.000
220,86,"drives, vsds, coincidentally, proper, vsd",1,2010-12-31 19:12:00.000
221,89,"cef, ccf, authorities, port, ports",1,2010-12-31 19:12:00.000
222,95,"lighting, alternatives, residential, consumers, educational",1,2010-12-31 19:12:00.000
223,104,"drying, rank, coal, dryer, patents",1,2010-12-31 19:12:00.000
224,105,"networking, telecom, network, networks, subscribers",2,2010-12-31 19:12:00.000
225,108,"optical, networks, network, photonic, power",8,2010-12-31 19:12:00.000
226,112,"toilets, flushed, rainwater, potable, scenario",1,2010-12-31 19:12:00.000
227,113,"bottled, water, tap, drinking, ecocities",2,2010-12-31 19:12:00.000
228,114,"labeling, singapore, emerging, business, product",2,2010-12-31 19:12:00.000
229,125,"pulp, rec, paper, ethics, conduct",2,2010-12-31 19:12:00.000
230,126,"coffee, machines, preparation, filter, capsule",1,2010-12-31 19:12:00.000
231,134,"culinary, restaurants, layout, researches, accelerate",1,2010-12-31 19:12:00.000
232,135,"wood, furniture, development, forest, arises",1,2010-12-31 19:12:00.000
233,147,"lcd, auo, product, tft, design",3,2010-12-31 19:12:00.000
234,157,"urban, agriculture, security, biodiversity, credits",1,2010-12-31 19:12:00.000
235,158,"generation, inventory, thermal, electricity, matrix",1,2010-12-31 19:12:00.000
236,-1,"carbon, footprint, energy, emissions, power",92,2011-07-02 09:36:00.000
237,0,"fruit, crop, crops, ha, kg",9,2011-07-02 09:36:00.000
238,1,"milk, beef, jersey, dairy, feed",13,2011-07-02 09:36:00.000
239,2,"building, construction, bee, buildings, bridge",12,2011-07-02 09:36:00.000
240,3,"business, chain, supply, loop, closed",5,2011-07-02 09:36:00.000
241,4,"power, layers, gis, renewable, appliance",3,2011-07-02 09:36:00.000
242,5,"cities, provinces, muenster, potsdam, city",6,2011-07-02 09:36:00.000
243,6,"centers, cloud, workload, data, computing",7,2011-07-02 09:36:00.000
244,7,"fallers, albury, norske, dystar, theatrical",9,2011-07-02 09:36:00.000
245,8,"concrete, prestressed, wpsa, foamed, frca",2,2011-07-02 09:36:00.000
246,9,"huangshan, tourism, hm, park, confused",1,2011-07-02 09:36:00.000
247,10,"bang, mexico, transport, activity, city",2,2011-07-02 09:36:00.000
248,11,"treatment, wastewater, sludge, wwtps, cecs",4,2011-07-02 09:36:00.000
249,12,"waste, swm, eow, recovery, management",4,2011-07-02 09:36:00.000
250,14,"networks, mobile, wireless, cellular, operators",6,2011-07-02 09:36:00.000
251,15,"biobased, biodegradable, bio, plastics, pa",2,2011-07-02 09:36:00.000
252,16,"campus, cxt, university, cap, seeu",2,2011-07-02 09:36:00.000
253,19,"pavement, asphalt, road, wma, highway",7,2011-07-02 09:36:00.000
254,20,"textile, sector, tow, domestic, china",1,2011-07-02 09:36:00.000
255,21,"labelling, consumers, labels, food, consumer",2,2011-07-02 09:36:00.000
256,23,"fatigue, fiber, composites, thermoplastic, reinforced",1,2011-07-02 09:36:00.000
257,29,"lumber, wood, forest, forests, prefecture",2,2011-07-02 09:36:00.000
258,30,"mrio, trade, output, input, embodied",5,2011-07-02 09:36:00.000
259,31,"alloys, microalloyed, steels, nb, steel",2,2011-07-02 09:36:00.000
260,34,"nuclear, vermont, preemption, regulatory, power",2,2011-07-02 09:36:00.000
261,35,"sugar, sugarcane, bioenergy, biofuels, cane",5,2011-07-02 09:36:00.000
262,38,"deliberations, ethical, ecomethodology, education, teacher",2,2011-07-02 09:36:00.000
263,41,"packaging, glass, brewage, vessel, substrates",3,2011-07-02 09:36:00.000
264,42,"desalination, conveyance, seawater, water, nevada",2,2011-07-02 09:36:00.000
265,43,"wind, converters, wec, offshore, site",2,2011-07-02 09:36:00.000
266,44,"mine, oil, methane, heavy, injection",2,2011-07-02 09:36:00.000
267,45,"scheduling, shop, manufacturing, compressed, pneuviz",3,2011-07-02 09:36:00.000
268,48,"butter, fat, tub, cf, food",3,2011-07-02 09:36:00.000
269,49,"norwegian, fisheries, seafood, fishing, products",1,2011-07-02 09:36:00.000
270,53,"recycle, plastics, virgin, streams, compatibilizers",1,2011-07-02 09:36:00.000
271,55,"donegal, wool, geopolitical, tech, smokestacks",3,2011-07-02 09:36:00.000
272,56,"disclosure, legitimation, companies, award, symbolism",2,2011-07-02 09:36:00.000
273,57,"epcglobal, sourcemap, persuasive, phones, dynamic",1,2011-07-02 09:36:00.000
274,59,"printing, print, digital, printed, fulfill",2,2011-07-02 09:36:00.000
275,61,"heater, ashpwh, pump, heat, heaters",1,2011-07-02 09:36:00.000
276,67,"compressed, compressor, air, powered, industrial",2,2011-07-02 09:36:00.000
277,68,"product, manufacturing, stream, front, design",2,2011-07-02 09:36:00.000
278,69,"cutting, diamond, machining, deposition, coated",1,2011-07-02 09:36:00.000
279,70,"hotel, accommodation, hotels, lcea, poole",1,2011-07-02 09:36:00.000
280,74,"dialysis, hemodialysis, similar, trained, seem",1,2011-07-02 09:36:00.000
281,75,"refrigerants, refrigerant, refrigeration, groundwork, commercial",1,2011-07-02 09:36:00.000
282,76,"sport, events, euro, constitutional, principle",1,2011-07-02 09:36:00.000
283,84,"cooling, coolant, heat, cooled, exergetic",1,2011-07-02 09:36:00.000
284,86,"cement, iea, levers, industry, bat",2,2011-07-02 09:36:00.000
285,93,"rail, hsr, speed, ridership, cahsr",2,2011-07-02 09:36:00.000
286,98,"shielding, electromagnetic, ppa, copper, se",1,2011-07-02 09:36:00.000
287,100,"ctl, coal, seams, underground, liquid",2,2011-07-02 09:36:00.000
288,104,"tara, drying, wet, white, tannins",1,2011-07-02 09:36:00.000
289,105,"wireline, network, italia, networking, next",1,2011-07-02 09:36:00.000
290,106,"scavenging, anesthetic, ventilator, vacuum, anesthesia",1,2011-07-02 09:36:00.000
291,107,"aob, nitrification, nitrifying, aeration, reactors",1,2011-07-02 09:36:00.000
292,108,"optical, sleep, networks, packet, telephone",5,2011-07-02 09:36:00.000
293,111,"fractionation, polyglycerol, crystal, wijs, pge",1,2011-07-02 09:36:00.000
294,112,"sacramento, filtration, treatment, calif, slow",1,2011-07-02 09:36:00.000
295,114,"label, standards, pcf, labelling, standardization",4,2011-07-02 09:36:00.000
296,117,"calculators, calculator, ocff, ucfc, ubiquitous",1,2011-07-02 09:36:00.000
297,123,"ide, mobile, tools, power, developers",1,2011-07-02 09:36:00.000
298,127,"mrt, metals, precious, metal, recognition",2,2011-07-02 09:36:00.000
299,131,"ship, amico, vessel, indexes, fleet",1,2011-07-02 09:36:00.000
300,134,"smartfresh, fruit, rooms, gala, mcp",1,2011-07-02 09:36:00.000
301,135,"furniture, wood, wooden, products, ecodesign",1,2011-07-02 09:36:00.000
302,142,"ceramic, stone, tile, tonne, kgco",2,2011-07-02 09:36:00.000
303,147,"design, product, triz, manufacturing, collaboratory",2,2011-07-02 09:36:00.000
304,152,"concrete, structures, reabsorb, carbonation, stressed",1,2011-07-02 09:36:00.000
305,153,"lignin, lignactiv, lignoboost, activated, kraft",1,2011-07-02 09:36:00.000
306,155,"eee, norwegian, electronic, households, caused",1,2011-07-02 09:36:00.000
307,157,"gardens, urban, civic, agriculture, food",3,2011-07-02 09:36:00.000
308,163,"supplemental, sealed, greenhouses, lettuce, grower",1,2011-07-02 09:36:00.000
309,172,"junior, surgeons, directive, working, european",1,2011-07-02 09:36:00.000
310,-1,"entropy, water, heating, sinks, environmental",33,2012-01-01 00:00:00.000
311,0,"ha, crop, crops, pumpkin, choy",11,2012-01-01 00:00:00.000
312,1,"milk, dairy, grazing, feed, beef",9,2012-01-01 00:00:00.000
313,2,"coimbra, lulea, summer, building, brussels",2,2012-01-01 00:00:00.000
314,3,"supply, chain, concave, logistics, chains",3,2012-01-01 00:00:00.000
315,5,"china, siena, spatial, central, area",5,2012-01-01 00:00:00.000
316,6,"cloud, revenues, servers, server, computing",1,2012-01-01 00:00:00.000
317,7,"travelling, holiday, beet, dutch, going",3,2012-01-01 00:00:00.000
318,8,"owrha, concrete, recycled, ggbs, durability",3,2012-01-01 00:00:00.000
319,11,"sludge, treatment, wastewater, bnr, uasb",4,2012-01-01 00:00:00.000
320,12,"wte, phb, landfill, residuals, waste",2,2012-01-01 00:00:00.000
321,14,"amplifier, modulation, rf, power, wimax",1,2012-01-01 00:00:00.000
322,18,"ems, services, health, adaptation, represent",1,2012-01-01 00:00:00.000
323,20,"rpi, textile, recyclability, sewing, fibres",2,2012-01-01 00:00:00.000
324,22,"kit, kits, reusable, venous, catheter",1,2012-01-01 00:00:00.000
325,26,"wine, tool, vine, cf, impossibility",1,2012-01-01 00:00:00.000
326,29,"tree, nursery, photosynthesis, forest, sequestration",4,2012-01-01 00:00:00.000
327,30,"trade, eebt, mrio, responsibility, output",2,2012-01-01 00:00:00.000
328,32,"pv, thin, screening, harmonization, diselenide",1,2012-01-01 00:00:00.000
329,34,"uae, dhabi, abu, main, policies",1,2012-01-01 00:00:00.000
330,35,"sugar, cane, beet, eu, pcf",1,2012-01-01 00:00:00.000
331,36,"clay, ggbs, stabilised, stabiliser, fired",1,2012-01-01 00:00:00.000
332,41,"bags, shopping, packaging, functional, consumer",1,2012-01-01 00:00:00.000
333,43,"wind, vawt, turbine, mrt, draft",1,2012-01-01 00:00:00.000
334,48,"rendering, america, scope, fat, cookers",1,2012-01-01 00:00:00.000
335,49,"fisheries, imprecision, trophic, marine, menhaden",1,2012-01-01 00:00:00.000
336,52,"ferrochrome, furnace, variables, arc, limitations",1,2012-01-01 00:00:00.000
337,55,"footprinting, terminology, beginner, glossary, struck",1,2012-01-01 00:00:00.000
338,60,"coal, distributions, pyrolysis, isothermal, biomass",1,2012-01-01 00:00:00.000
339,62,"pev, batteries, vehicle, electric, charging",1,2012-01-01 00:00:00.000
340,63,"distillation, azeotropic, extractive, dwc, dividing",1,2012-01-01 00:00:00.000
341,68,"connection, units, product, design, transistor",1,2012-01-01 00:00:00.000
342,80,"claims, pcrs, category, rules, product",1,2012-01-01 00:00:00.000
343,91,"fireproof, cementitious, porcelain, composites, polymer",1,2012-01-01 00:00:00.000
344,100,"coal, shale, gas, ventilation, methane",3,2012-01-01 00:00:00.000
